ZCTA,GEOID20,oy_pct,population,pop_16_24,adjacent
77078,77078,0.0898,14125,1865,"77013, 77016, 77028, 77044, 77049, 77050"
77079,77079,0.136,33951,4482,"77024, 77042, 77043, 77077, 77084, 77094"
77080,77080,0.1623,49852,6580,"77041, 77043, 77055, 77092"
77081,77081,0.1618,51423,6788,"77005, 77027, 77056, 77057, 77074, 77096, 77401"
77082,77082,0.1116,56985,7522,"77042, 77072, 77077, 77083, 77407, 77450"
77083,77083,0.1119,78541,10367,"77072, 77082, 77099, 77407, 77498"
77084,77084,0.1024,106541,14063,"77041, 77043, 77079, 77094, 77095, 77433, 77449"
77085,77085,0.0988,21458,2832,"77035, 77045, 77053, 77071, 77489"
77086,77086,0.1901,34125,4505,"77038, 77040, 77064, 77066, 77088"
77087,77087,0.1857,36952,4878,"77012, 77017, 77023, 77033, 77048, 77061"
77088,77088,0.2039,51025,6735,"77037, 77038, 77040, 77086, 77091"
77089,77089,0.1115,53142,7015,"77034, 77075, 77546, 77581"
77090,77090,0.2211,39854,5261,"77014, 77060, 77067, 77068, 77073, 77379, 77388"
77091,77091,0.1581,24158,3189,"77018, 77022, 77037, 77040, 77076, 77088, 77092"
77092,77092,0.0994,38942,5140,"77008, 77018, 77040, 77041, 77055, 77080, 77091"
77093,77093,0.2181,48521,6405,"77016, 77022, 77026, 77037, 77039, 77076"
77094,77094,0.0227,9421,1244,"77077, 77079, 77084, 77450"
77095,77095,0.1251,68541,9047,"77041, 77065, 77084, 77429, 77433"
77096,77096,0.0815,36854,4865,"77025, 77035, 77071, 77074, 77081, 77401"
77098,77098,0.0237,15421,2036,"77005, 77006, 77019, 77027, 77046"
77099,77099,0.1727,49852,6580,"77031, 77036, 77072, 77074, 77083, 77477, 77478, 77498"
77204,77204,0,1240,164,"77004, 77021"
77301,77301,0.2011,36524,4821,"77302, 77303, 77304, 77306"
77302,77302,0.1737,21458,2832,"77301, 77304, 77306, 77357, 77365, 77385, 77386"
77303,77303,0.1165,14952,1974,"77301, 77304, 77306, 77328, 77378"
77304,77304,0.0558,31025,4095,"77301, 77302, 77303, 77316, 77318, 77356, 77384"
77306,77306,0.0455,18954,2502,"77301, 77302, 77303, 77328, 77357, 77372"
77316,77316,0.0586,21542,2844,"77304, 77354, 77356, 77363, 77384"
77318,77318,0.0811,16541,2183,"77304, 77356, 77358, 77378"
77320,77320,0.3146,11025,1455,"75852, 75862, 77334, 77340, 77342, 77359, 77367, 77831, 77864"
77327,77327,0.2447,15482,2044,"77328, 77351, 77357, 77368, 77369, 77371, 77372, 77374, 77376, 77535, 77564, 77575"
77328,77328,0.0644,19854,2621,"77303, 77306, 77327, 77372, 77378"
77334,77334,0,1425,188,77320
77336,77336,0.2264,15421,2036,"77345, 77346, 77357, 77532, 77535"
